Wall time,Step,Value
1713455372.801278,23,0.9751999974250793
1713455374.0182614,35,1.1382999420166016
1713455408.1699045,41,0.868399977684021
1713455408.4786716,44,1.101099967956543
1713455444.256496,72,0.7445999979972839
1713455444.763651,77,0.9940000176429749
1713455480.2030494,100,0.5645999908447266
1713455583.7480829,141,0.6035000085830688
1713455585.4752498,158,0.4936000108718872
1713455585.6783416,160,0.5364000201225281
1713455620.167699,164,0.42250001430511475
1713455620.981245,172,0.6323000192642212
1713455656.008201,183,0.5953999757766724
1713455692.181652,205,0.336899995803833
1713455727.252161,221,0.34549999237060547
1713455764.0817058,247,0.4368000030517578
1713455764.5903382,252,0.376800000667572
1713455872.7332044,304,0.38659998774528503
1713455873.3440146,310,0.9932000041007996
1713455873.9538662,316,0.2703000009059906
1713455908.5581446,333,0.4830999970436096
1713455908.8625083,336,0.20880000293254852
1713456156.06754,463,0.29580000042915344
1713456191.350536,483,0.20329999923706055
1713456227.3319633,507,0.18160000443458557
1713456228.5528152,519,0.3368000090122223
1713456261.5901506,521,0.24320000410079956
1713456262.5124366,530,0.18520000576972961
1713456263.1230562,536,0.18610000610351562
1713456332.6604426,569,0.23109999299049377
1713456368.255347,593,0.19930000603199005
1713456368.4583888,595,0.20810000598430634
1713456368.661551,597,0.5016000270843506
1713456402.8727503,609,0.18320000171661377
1713456402.9741633,610,0.22200000286102295
1713456438.7043824,633,0.13830000162124634
1713456473.496968,641,0.48649999499320984
1713456475.0284832,656,0.0869000032544136
1713456509.20191,662,0.534500002861023
1713456580.3912644,703,0.1923000067472458
1713456615.4125273,726,0.22259999811649323
1713456616.1243625,733,0.15080000460147858
1713456650.08998,747,0.09430000185966492
1713456686.874555,777,0.15060000121593475
1713456721.2038813,787,0.22869999706745148
1713456722.4212458,799,0.10450000315904617
1713456756.0679436,811,0.4041999876499176
1713456790.5890315,831,0.259799987077713
1713456790.7922473,833,0.14820000529289246
1713456826.2609377,846,0.11180000007152557
1713456827.3760934,857,0.1712000072002411
1713456895.9536653,881,0.30090001225471497
1713456896.469856,886,0.1793999969959259
1713456896.5711637,887,0.17180000245571136
1713456897.5863266,897,0.15039999783039093
1713456967.9017346,934,0.19480000436306
1713457039.1095004,970,0.17090000212192535
1713457039.210751,971,0.1005999967455864
1713457039.3120809,972,0.09839999675750732
1713457039.5150738,974,0.15379999577999115
1713457072.902737,981,0.2619999945163727
1713457074.3329403,995,0.5404999852180481
1713457109.451748,1010,0.1632000058889389
1713457145.6266673,1038,0.17219999432563782
1713457178.6807218,1041,0.09459999948740005
1713457250.2641861,1094,0.06340000033378601
1713457356.0940347,1143,0.16380000114440918
1713457357.1085496,1153,0.20499999821186066
1713457425.2401218,1184,0.07880000025033951
1713457461.7697566,1211,0.09390000253915787
1713457461.8712137,1212,0.13220000267028809
1713457462.0740101,1214,0.12359999865293503
1713457496.3803945,1221,0.20399999618530273
1713457531.782456,1241,0.4293999969959259
1713457532.7060163,1250,0.10760000348091125
1713457567.8924997,1264,0.13459999859333038
1713457568.197803,1267,0.09059999883174896
1713457604.073926,1291,0.13330000638961792
1713457604.4796963,1295,0.17309999465942383
1713457638.2656252,1302,0.18880000710487366
1713457709.8421466,1348,0.10050000250339508
1713457710.2479362,1352,0.13920000195503235
1713457746.4276927,1371,0.18039999902248383
1713457783.1465456,1394,0.2240999937057495
1713457819.5108793,1420,0.12359999865293503
1713457854.730189,1432,0.2538999915122986
1713457927.1739492,1479,0.07590000331401825
1713457996.5199506,1502,0.0877000018954277
1713458032.566595,1535,0.18029999732971191
1713458032.8715525,1538,0.053599998354911804
1713458067.8961928,1551,0.14000000059604645
1713458101.891168,1561,0.1673000007867813
1713458208.2364855,1624,0.12300000339746475
1713458209.2507873,1634,0.19110000133514404
1713458280.3145688,1670,0.1340000033378601
1713458315.0901432,1691,0.08789999783039093
1713458315.2929897,1693,0.17579999566078186
1713458350.9811175,1711,0.07349999994039536
1713458386.217835,1721,0.12620000541210175
1713458387.5422528,1734,0.13040000200271606
1713458387.8473103,1737,0.1429000049829483
1713458492.59721,1785,0.09759999811649323
1713458493.918233,1798,0.07680000364780426
1713458598.6774378,1848,0.1770000010728836
1713458632.7183292,1861,0.2214999943971634
1713458634.047374,1874,0.2485000044107437
1713458667.3064864,1881,0.11010000109672546
1713458668.0246756,1888,0.17030000686645508
1713458738.0832238,1923,0.09019999951124191
1713458739.199481,1934,0.30169999599456787
1713458774.3041577,1946,0.1589999943971634
1713458774.507386,1948,0.10029999911785126
1713458774.9127254,1952,0.0763000026345253
1713458808.7929397,1963,0.09210000187158585
1713458809.6063774,1971,0.06449999660253525
1713458844.9179828,1997,0.15279999375343323
1713458879.283495,2013,0.0843999981880188
1713458951.0511708,2051,0.1307000070810318
1713459022.499174,2098,0.12030000239610672
1713459057.3624258,2107,0.22290000319480896
1713459092.8136835,2133,0.05299999937415123
1713459127.1019955,2149,0.09160000085830688
1713459127.5076458,2153,0.09549999982118607
